key_loja,cod_produto,dt_estoque,qt_estoque,is_ruptura,qtd_vendas,tipo_demanda,qtd_venda_interp,des_estado_franquia,categoria_produto,sub_categoria_produto,linha_produto,vlr_venda_tabelado_mean,qtd_vendas_media_1d,qtd_vendas_mediana_1d,qtd_vendas_max_1d,qtd_vendas_min_1d,qtd_vendas_media_7d,qtd_vendas_mediana_7d,qtd_vendas_max_7d,qtd_vendas_min_7d,qtd_vendas_media_30d,qtd_vendas_mediana_30d,qtd_vendas_max_30d,qtd_vendas_min_30d,qtd_vendas_media_60d,qtd_vendas_mediana_60d,qtd_vendas_max_60d,qtd_vendas_min_60d,media_1d_7d_ratio_qtd_vendas,media_1d_30d_ratio_qtd_vendas,media_1d_60d_ratio_qtd_vendas,media_7d_30d_ratio_qtd_vendas,media_7d_60d_ratio_qtd_vendas,media_30d_60d_ratio_qtd_vendas,mediana_1d_7d_ratio_qtd_vendas,mediana_1d_30d_ratio_qtd_vendas,mediana_1d_60d_ratio_qtd_vendas,mediana_7d_30d_ratio_qtd_vendas,mediana_7d_60d_ratio_qtd_vendas,mediana_30d_60d_ratio_qtd_vendas,max_1d_7d_ratio_qtd_vendas,max_1d_30d_ratio_qtd_vendas,max_1d_60d_ratio_qtd_vendas,max_7d_30d_ratio_qtd_vendas,max_7d_60d_ratio_qtd_vendas,max_30d_60d_ratio_qtd_vendas,min_1d_7d_ratio_qtd_vendas,min_1d_30d_ratio_qtd_vendas,min_1d_60d_ratio_qtd_vendas,min_7d_30d_ratio_qtd_vendas,min_7d_60d_ratio_qtd_vendas,min_30d_60d_ratio_qtd_vendas,vlr_venda_tabelado_mean_media_1d,vlr_venda_tabelado_mean_mediana_1d,vlr_venda_tabelado_mean_max_1d,vlr_venda_tabelado_mean_min_1d,vlr_venda_tabelado_mean_media_7d,vlr_venda_tabelado_mean_mediana_7d,vlr_venda_tabelado_mean_max_7d,vlr_venda_tabelado_mean_min_7d,vlr_venda_tabelado_mean_media_30d,vlr_venda_tabelado_mean_mediana_30d,vlr_venda_tabelado_mean_max_30d,vlr_venda_tabelado_mean_min_30d,vlr_venda_tabelado_mean_media_60d,vlr_venda_tabelado_mean_mediana_60d,vlr_venda_tabelado_mean_max_60d,vlr_venda_tabelado_mean_min_60d,media_1d_7d_ratio_vlr_venda_tabelado_mean,media_1d_30d_ratio_vlr_venda_tabelado_mean,media_1d_60d_ratio_vlr_venda_tabelado_mean,media_7d_30d_ratio_vlr_venda_tabelado_mean,media_7d_60d_ratio_vlr_venda_tabelado_mean,media_30d_60d_ratio_vlr_venda_tabelado_mean,mediana_1d_7d_ratio_vlr_venda_tabelado_mean,mediana_1d_30d_ratio_vlr_venda_tabelado_mean,mediana_1d_60d_ratio_vlr_venda_tabelado_mean,mediana_7d_30d_ratio_vlr_venda_tabelado_mean,mediana_7d_60d_ratio_vlr_venda_tabelado_mean,mediana_30d_60d_ratio_vlr_venda_tabelado_mean,max_1d_7d_ratio_vlr_venda_tabelado_mean,max_1d_30d_ratio_vlr_venda_tabelado_mean,max_1d_60d_ratio_vlr_venda_tabelado_mean,max_7d_30d_ratio_vlr_venda_tabelado_mean,max_7d_60d_ratio_vlr_venda_tabelado_mean,max_30d_60d_ratio_vlr_venda_tabelado_mean,min_1d_7d_ratio_vlr_venda_tabelado_mean,min_1d_30d_ratio_vlr_venda_tabelado_mean,min_1d_60d_ratio_vlr_venda_tabelado_mean,min_7d_30d_ratio_vlr_venda_tabelado_mean,min_7d_60d_ratio_vlr_venda_tabelado_mean,min_30d_60d_ratio_vlr_venda_tabelado_mean,qt_estoque_media_1d,qt_estoque_mediana_1d,qt_estoque_max_1d,qt_estoque_min_1d,qt_estoque_media_7d,qt_estoque_mediana_7d,qt_estoque_max_7d,qt_estoque_min_7d,qt_estoque_media_30d,qt_estoque_mediana_30d,qt_estoque_max_30d,qt_estoque_min_30d,qt_estoque_media_60d,qt_estoque_mediana_60d,qt_estoque_max_60d,qt_estoque_min_60d,media_1d_7d_ratio_qt_estoque,media_1d_30d_ratio_qt_estoque,media_1d_60d_ratio_qt_estoque,media_7d_30d_ratio_qt_estoque,media_7d_60d_ratio_qt_estoque,media_30d_60d_ratio_qt_estoque,mediana_1d_7d_ratio_qt_estoque,mediana_1d_30d_ratio_qt_estoque,mediana_1d_60d_ratio_qt_estoque,mediana_7d_30d_ratio_qt_estoque,mediana_7d_60d_ratio_qt_estoque,mediana_30d_60d_ratio_qt_estoque,max_1d_7d_ratio_qt_estoque,max_1d_30d_ratio_qt_estoque,max_1d_60d_ratio_qt_estoque,max_7d_30d_ratio_qt_estoque,max_7d_60d_ratio_qt_estoque,max_30d_60d_ratio_qt_estoque,min_1d_7d_ratio_qt_estoque,min_1d_30d_ratio_qt_estoque,min_1d_60d_ratio_qt_estoque,min_7d_30d_ratio_qt_estoque,min_7d_60d_ratio_qt_estoque,min_30d_60d_ratio_qt_estoque,day_of_the_week
190,3,48253,2024-01-01,15.0,0,0.0,Intermittent,0.0,GO,217.0,422944,731659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
248,3,77690,2024-01-01,15.0,0,0.0,Intermittent,0.0,GO,217.0,422944,390554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
253,3,82037,2024-01-01,8.0,0,0.0,Intermittent,0.0,GO,157293.0,483679,390554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
566,8,49880,2024-01-01,0.0,1,,Intermittent,0.0,MG,217.0,422944,390554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
809,3,48253,2024-01-02,15.0,0,0.0,Intermittent,0.0,GO,217.0,422944,731659,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
867,3,77690,2024-01-02,15.0,0,1.0,Intermittent,1.0,GO,217.0,422944,390554,377.4,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
872,3,82037,2024-01-02,8.0,0,0.0,Intermittent,0.0,GO,157293.0,483679,390554,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1185,8,49880,2024-01-02,0.0,1,,Intermittent,0.0,MG,217.0,422944,390554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1428,3,48253,2024-01-03,15.0,0,0.0,Intermittent,0.0,GO,217.0,422944,731659,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1486,3,77690,2024-01-03,13.0,0,2.0,Intermittent,2.0,GO,217.0,422944,390554,283.04999999999995,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.4,377.4,377.4,377.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1491,3,82037,2024-01-03,8.0,0,1.0,Intermittent,1.0,GO,157293.0,483679,390554,224.7,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1804,8,49880,2024-01-03,0.0,1,,Intermittent,0.0,MG,217.0,422944,390554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2047,3,48253,2024-01-04,15.0,0,0.0,Intermittent,0.0,GO,217.0,422944,731659,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
