dt_venda,key_loja,cod_produto,qtd_vendas,vlr_venda_tabelado_mean,vlr_desconto_mean,categoria_produto,sub_categoria_produto,linha_produto
2024-01-02,1,48062,1,284.7,0.0,217.0,422944,306420
2024-01-02,1,48635,1,419.7,0.0,955075.0,483679,284036
2024-01-02,1,82060,1,1017.0,191.1,157293.0,483679,120030
2024-01-02,2,1650,1,167.7,36.0,217.0,422944,731659
2024-01-02,2,48060,2,584.55,0.0,217.0,422944,306420
2024-01-02,2,48145,1,749.4,0.0,157293.0,483679,85436
2024-01-02,2,48281,1,461.4,0.0,217.0,422944,731659
2024-01-02,2,48282,1,461.4,96.0,217.0,422944,731659
2024-01-02,2,48676,3,398.3,110.39999999999999,217.0,422944,731659
2024-01-02,2,77989,1,869.7,90.0,157293.0,483679,306420
2024-01-02,3,48060,1,389.7,0.0,217.0,422944,306420
2024-01-02,3,48062,1,284.7,0.0,217.0,422944,306420
2024-01-02,3,48282,1,230.7,48.0,217.0,422944,731659
2024-01-02,3,48676,1,341.4,72.0,217.0,422944,731659
2024-01-02,3,52005,1,167.7,0.0,217.0,422944,731659
2024-01-02,3,75610,1,599.4,300.0,157293.0,483679,22428
2024-01-02,3,77690,1,377.4,114.0,217.0,422944,390554
2024-01-02,3,84206,1,209.7,0.0,217.0,422944,390554
2024-01-02,4,1428,5,415.26000000000005,116.47200000000001,217.0,422944,731659
2024-01-02,4,1640,1,164.7,51.0,217.0,422944,731659
2024-01-02,4,1650,1,167.7,51.48,217.0,422944,731659
2024-01-02,4,25458,1,419.7,0.0,157293.0,483679,284036
2024-01-02,4,48062,1,284.7,0.0,217.0,422944,306420
2024-01-02,4,48281,3,230.69999999999996,0.0,217.0,422944,731659
2024-01-02,4,48282,5,415.25999999999993,116.47200000000001,217.0,422944,731659
2024-01-02,4,48562,1,158.7,0.0,217.0,32688,731659
2024-01-02,4,48635,1,419.7,0.0,955075.0,483679,284036
2024-01-02,4,48645,1,389.7,0.0,217.0,422944,200277
2024-01-02,4,48673,1,164.7,33.0,217.0,422944,731659
2024-01-02,4,48675,2,170.7,0.0,217.0,422944,731659
2024-01-02,4,48676,5,580.38,169.92000000000002,217.0,422944,731659
2024-01-02,4,48680,1,170.7,36.0,217.0,422944,731659
2024-01-02,4,49954,2,230.7,48.0,217.0,422944,731659
2024-01-02,4,51387,1,614.7,218.82,157293.0,483679,212257
2024-01-02,4,51395,1,614.7,218.82,157293.0,311781,212257
2024-01-02,4,74031,6,877.0500000000002,351.0,157293.0,483679,147447
2024-01-02,4,76666,1,419.7,0.0,157293.0,311781,109471
2024-01-02,4,77690,4,330.22499999999997,99.75,217.0,422944,390554
2024-01-02,4,77989,1,899.7,89.97,157293.0,483679,306420
2024-01-02,4,83845,1,1017.0,191.1,157293.0,483679,120030
2024-01-02,4,84203,1,188.7,0.0,217.0,422944,390554
2024-01-02,4,84206,1,209.7,0.0,217.0,422944,390554
2024-01-02,5,1428,1,230.7,69.48,217.0,422944,731659
2024-01-02,5,1640,1,164.7,64.38,217.0,422944,731659
2024-01-02,5,1650,1,838.5,257.4,217.0,422944,731659
2024-01-02,5,29226,1,389.7,0.0,217.0,422944,200277
2024-01-02,5,47851,1,929.4,270.0,157293.0,311781,736254
2024-01-02,5,48062,1,284.7,0.0,217.0,422944,306420
2024-01-02,5,48253,1,170.7,0.0,217.0,422944,731659
2024-01-02,5,48281,1,461.4,0.0,217.0,422944,731659
2024-01-02,5,48282,9,538.3,140.64,217.0,422944,731659
2024-01-02,5,48352,1,524.7,0.0,157293.0,483679,85436
2024-01-02,5,48675,2,170.7,0.0,217.0,422944,731659
2024-01-02,5,48676,7,243.85714285714286,62.74285714285715,217.0,422944,731659
2024-01-02,5,48680,1,170.7,36.0,217.0,422944,731659
2024-01-02,5,49954,1,230.7,48.0,217.0,422944,731659
2024-01-02,5,51387,2,1536.75,547.05,157293.0,483679,212257
2024-01-02,5,51395,2,1844.1000000000001,656.46,157293.0,311781,212257
2024-01-02,5,54184,1,137.7,0.0,217.0,422944,390554
2024-01-02,5,74096,1,509.7,0.0,157293.0,483679,264366
2024-01-02,5,77690,3,188.69999999999996,57.0,217.0,422944,390554
2024-01-02,5,81177,1,794.7,0.0,157293.0,483679,511346
2024-01-02,5,83068,3,659.6,102.36000000000001,157293.0,483679,306420
2024-01-02,8,1428,3,230.69999999999996,48.0,217.0,422944,731659
2024-01-02,8,1650,1,167.7,51.48,217.0,422944,731659
2024-01-02,8,25458,6,419.7,0.0,157293.0,483679,284036
2024-01-02,8,47851,2,494.7,105.03,157293.0,311781,736254
2024-01-02,8,48060,2,389.7,0.0,217.0,422944,306420
2024-01-02,8,48062,2,284.7,0.0,217.0,422944,306420
2024-01-02,8,48145,1,404.7,0.0,157293.0,483679,85436
2024-01-02,8,48282,25,369.12,95.7024,217.0,422944,731659
2024-01-02,8,48635,1,419.7,0.0,157293.0,483679,284036
2024-01-02,8,48673,2,164.7,33.0,217.0,422944,731659
