iter	MAE
0	3.117682876
1	3.027423418
2	2.933998044
3	2.866029176
4	2.808214888
5	2.762840733
6	2.694189949
7	2.663914415
8	2.60201455
9	2.551650951
10	2.515269008
11	2.484299872
12	2.454701716
13	2.440999916
14	2.41675736
15	2.387234631
16	2.349567595
17	2.329156281
18	2.303279324
19	2.295054093
20	2.28571573
21	2.266274724
22	2.255394792
23	2.254157739
24	2.231899845
25	2.213311576
26	2.19511851
27	2.194176098
28	2.187957118
29	2.186384036
30	2.166571111
31	2.166017859
32	2.165125755
33	2.144460466
34	2.1301626
35	2.127359089
36	2.122805527
37	2.11564644
38	2.10220359
39	2.101834395
40	2.097414434
41	2.096641061
42	2.096455404
43	2.095679575
44	2.093953175
45	2.092265019
46	2.081461802
47	2.07603188
48	2.07446817
49	2.074270315
50	2.074186424
51	2.066259547
52	2.061579677
53	2.054939682
54	2.047363197
55	2.046174666
56	2.046128838
57	2.046087205
58	2.046029098
59	2.041800653
60	2.041727278
61	2.041320472
62	2.038568972
63	2.038545696
64	2.038465859
65	2.037390102
66	2.037263347
67	2.03186083
68	2.030311375
69	2.025412376
70	2.025370877
71	2.025359014
72	2.020014875
73	2.018593608
74	2.01769442
75	2.014558193
76	2.013998722
77	2.013964289
78	2.012328692
79	2.011885037
80	2.008938669
81	2.00752673
82	2.007035251
83	2.006226686
84	2.003659508
85	2.003655376
86	2.002580169
87	2.000328013
88	1.997417458
89	1.997389427
90	1.997310272
91	1.997302447
92	1.997177148
93	1.997107397
94	1.997106246
95	1.996742689
96	1.996442409
97	1.994357968
98	1.993019988
99	1.990729263
100	1.989881863
101	1.989642182
102	1.989570729
103	1.988738408
104	1.988731701
105	1.985017394
106	1.982581487
107	1.982484056
108	1.982405236
109	1.979731025
110	1.979039879
111	1.978943445
112	1.978934815
113	1.978863469
114	1.978110599
115	1.978107704
116	1.977530914
117	1.977179588
118	1.977179481
119	1.977038363
120	1.974802431
121	1.974684144
122	1.97096862
123	1.967361012
124	1.966971329
125	1.965445847
126	1.965186685
127	1.962781591
128	1.962040376
129	1.95949718
130	1.959497092
131	1.957145696
132	1.955976031
133	1.954380891
134	1.952601519
135	1.950035155
136	1.948995786
137	1.947024438
138	1.943504288
139	1.941812043
140	1.940681949
141	1.939559364
142	1.934524498
143	1.933510029
144	1.931078823
145	1.930539317
146	1.929228879
147	1.928882364
148	1.927967111
149	1.927645685
150	1.926782973
151	1.926100443
152	1.925430652
153	1.925119742
154	1.923922658
155	1.923020569
156	1.922350566
157	1.921747989
158	1.920988832
159	1.920014053
160	1.919405557
161	1.915660504
162	1.914685621
163	1.914104626
164	1.913399665
165	1.913117989
166	1.911162617
167	1.91055468
168	1.908447523
169	1.90802416
170	1.907599926
171	1.907454344
172	1.907262504
173	1.903800019
174	1.902943341
175	1.901266284
176	1.900142603
177	1.898991767
178	1.894791546
179	1.892264916
180	1.892074999
181	1.891406933
182	1.890860962
183	1.889958693
184	1.887863847
185	1.886458408
186	1.885656833
187	1.885572102
188	1.885260275
189	1.883732138
190	1.88218133
191	1.88193368
192	1.881411032
193	1.879537051
194	1.878787514
195	1.878609455
196	1.876315751
197	1.875983334
198	1.875636552
199	1.874343919
200	1.872425717
201	1.871277337
202	1.871160752
203	1.869939095
204	1.868847173
205	1.86643078
206	1.866294394
207	1.865849863
208	1.865729071
209	1.86385201
210	1.863602342
211	1.862055737
212	1.861636469
213	1.861220125
214	1.861182831
215	1.859938043
216	1.859332184
217	1.85841967
218	1.85540194
219	1.854294636
220	1.852542228
221	1.851765845
222	1.851374368
223	1.851177301
224	1.850029309
225	1.847822385
226	1.847411758
227	1.847216018
228	1.844684257
229	1.84368775
230	1.842060827
231	1.84189676
232	1.841185
233	1.840795527
234	1.840108367
235	1.839447851
236	1.838735312
237	1.836692363
238	1.836472921
239	1.835406561
240	1.835311755
241	1.834598462
242	1.834512313
243	1.834443796
244	1.834427094
245	1.834220587
246	1.834134847
247	1.833980346
248	1.833765032
249	1.833646284
250	1.833283306
