iter	Passed	Remaining
0	21	7612
1	39	7058
2	60	7213
3	83	7442
4	97	6948
5	117	6975
6	137	6972
7	149	6606
8	168	6627
9	186	6567
10	205	6570
11	226	6599
12	247	6632
13	264	6568
14	284	6581
15	306	6633
16	325	6613
17	346	6620
18	369	6677
19	389	6660
20	410	6664
21	429	6633
22	449	6619
23	457	6440
24	475	6405
25	494	6392
26	510	6337
27	523	6238
28	543	6235
29	561	6208
30	581	6205
31	589	6078
32	607	6058
33	628	6062
34	644	6024
35	664	6015
36	679	5966
37	699	5967
38	719	5962
39	734	5910
40	753	5896
41	771	5881
42	779	5783
43	795	5752
44	813	5729
45	833	5725
46	854	5728
47	874	5721
48	891	5693
49	909	5674
50	917	5592
51	934	5572
52	954	5562
53	972	5546
54	992	5542
55	1010	5519
56	1017	5445
57	1024	5371
58	1034	5312
59	1047	5271
60	1059	5227
61	1077	5211
62	1098	5212
63	1106	5152
64	1119	5113
65	1134	5087
66	1151	5071
67	1172	5068
68	1190	5056
69	1212	5058
70	1228	5033
71	1239	4993
72	1263	5000
73	1284	4999
74	1304	4993
75	1326	4990
76	1346	4983
77	1358	4946
78	1379	4942
79	1399	4934
80	1418	4921
81	1437	4909
82	1458	4904
83	1482	4906
84	1503	4901
85	1516	4867
86	1535	4854
87	1557	4849
88	1579	4845
89	1595	4820
90	1606	4785
91	1619	4753
92	1638	4739
93	1650	4704
94	1658	4659
95	1679	4653
96	1698	4639
97	1718	4629
98	1738	4618
99	1758	4607
100	1776	4590
101	1792	4569
102	1812	4556
103	1832	4546
104	1843	4513
105	1864	4502
106	1886	4495
107	1906	4483
108	1927	4472
109	1946	4460
110	1964	4442
111	1983	4427
112	1998	4403
113	2015	4385
114	2036	4373
115	2045	4338
116	2065	4326
117	2086	4314
118	2094	4277
119	2112	4260
120	2130	4244
121	2141	4213
122	2162	4202
123	2182	4188
124	2200	4172
125	2221	4160
126	2239	4144
127	2259	4131
128	2281	4120
129	2300	4106
130	2309	4071
131	2327	4054
132	2347	4042
133	2367	4027
134	2386	4013
135	2407	4001
136	2429	3990
137	2451	3979
138	2476	3972
139	2495	3956
140	2515	3942
141	2534	3926
142	2556	3915
143	2575	3898
144	2599	3890
145	2620	3876
146	2643	3866
147	2662	3849
148	2680	3832
149	2699	3815
150	2719	3799
151	2740	3785
152	2762	3773
153	2781	3757
154	2801	3741
155	2820	3724
156	2842	3711
157	2862	3696
158	2883	3681
159	2903	3665
160	2925	3651
161	2947	3639
162	2970	3626
163	2989	3609
164	3010	3593
165	3031	3579
166	3054	3566
167	3075	3551
168	3095	3534
169	3116	3519
170	3136	3503
171	3157	3488
172	3178	3472
173	3200	3458
174	3222	3443
175	3242	3426
176	3264	3412
177	3285	3396
178	3305	3378
179	3326	3363
180	3347	3347
181	3372	3335
182	3394	3319
183	3415	3304
184	3437	3289
185	3459	3273
186	3480	3257
187	3504	3243
188	3527	3229
189	3551	3215
190	3572	3198
191	3592	3180
192	3612	3163
193	3634	3147
194	3654	3129
195	3674	3111
196	3697	3096
197	3718	3080
198	3738	3062
199	3760	3045
200	3780	3028
201	3801	3011
202	3822	2994
203	3840	2974
204	3864	2959
205	3886	2942
206	3905	2924
207	3929	2909
208	3949	2891
209	3970	2873
210	3991	2856
211	4013	2839
212	4028	2818
213	4048	2799
214	4066	2780
215	4086	2761
216	4107	2744
217	4128	2727
218	4148	2709
219	4169	2691
220	4189	2673
221	4209	2654
222	4230	2636
223	4248	2617
224	4269	2599
225	4290	2581
226	4311	2563
227	4334	2547
228	4357	2531
229	4380	2514
230	4400	2495
231	4416	2474
232	4437	2456
233	4457	2438
234	4478	2420
235	4500	2402
236	4522	2385
237	4542	2366
238	4562	2347
239	4582	2329
240	4604	2311
241	4625	2293
242	4646	2275
243	4666	2256
244	4684	2236
245	4701	2217
246	4720	2197
247	4740	2179
248	4758	2159
249	4777	2140
250	4796	2121
251	4815	2101
252	4834	2082
253	4853	2063
254	4873	2044
255	4896	2027
256	4914	2008
257	4936	1989
258	4954	1970
259	4970	1950
260	4992	1932
261	5013	1913
262	5033	1894
263	5052	1875
264	5074	1857
265	5093	1838
266	5111	1818
267	5132	1800
268	5154	1782
269	5175	1763
270	5194	1744
271	5214	1725
272	5235	1706
273	5254	1687
274	5276	1669
275	5294	1649
276	5312	1630
277	5333	1611
278	5351	1592
279	5371	1573
280	5391	1554
281	5411	1535
282	5432	1516
283	5455	1498
284	5475	1479
285	5493	1459
286	5515	1441
287	5534	1421
288	5555	1403
289	5576	1384
290	5597	1365
291	5615	1346
292	5632	1326
293	5651	1307
294	5672	1288
295	5695	1269
296	5713	1250
297	5734	1231
298	5756	1212
299	5776	1193
300	5793	1174
301	5812	1154
302	5829	1135
303	5849	1115
304	5866	1096
305	5887	1077
306	5906	1058
307	5927	1039
308	5947	1020
309	5965	1000
310	5983	981
311	6003	962
312	6024	943
313	6042	923
314	6061	904
315	6080	885
316	6100	865
317	6119	846
318	6141	827
319	6163	808
320	6184	789
321	6206	770
322	6229	752
323	6250	733
324	6270	713
325	6290	694
326	6307	675
327	6328	656
328	6348	636
329	6370	617
330	6391	598
331	6413	579
332	6437	560
333	6461	541
334	6482	522
335	6505	503
336	6526	484
337	6546	464
338	6566	445
339	6585	426
340	6603	406
341	6625	387
342	6645	368
343	6666	348
344	6688	329
345	6708	310
346	6729	290
347	6750	271
348	6769	252
349	6786	232
350	6806	213
351	6824	193
352	6843	174
353	6863	155
354	6884	135
355	6903	116
356	6931	97
357	6951	77
358	6971	58
359	6992	38
360	7014	19
361	7036	0
