dt_estoque,qtd_rupturas
2024-01-01,289
2024-01-02,289
2024-01-03,284
2024-01-04,285
2024-01-05,284
2024-01-06,277
2024-01-07,276
2024-01-08,276
2024-01-09,277
2024-01-10,277
2024-01-11,278
2024-01-12,276
2024-01-13,273
2024-01-14,272
2024-01-15,272
2024-01-16,272
2024-01-17,273
2024-01-18,265
2024-01-19,268
2024-01-20,267
2024-01-21,265
2024-01-22,265
2024-01-23,266
2024-01-24,265
2024-01-25,266
2024-01-26,261
2024-01-27,263
2024-01-28,267
2024-01-29,267
2024-01-30,266
2024-01-31,267
2024-02-01,264
2024-02-02,263
2024-02-03,263
2024-02-04,263
2024-02-05,263
2024-02-06,262
2024-02-07,264
2024-02-08,265
2024-02-09,266
2024-02-10,263
2024-02-11,265
2024-02-12,265
2024-02-13,265
2024-02-14,265
2024-02-15,264
2024-02-16,266
2024-02-17,261
2024-02-18,255
2024-02-19,255
2024-02-20,256
2024-02-21,259
2024-02-22,258
2024-02-23,257
2024-02-24,263
2024-02-25,275
2024-02-26,275
2024-02-27,276
2024-02-28,273
2024-02-29,274
2024-03-01,281
2024-03-02,269
2024-03-03,270
2024-03-04,270
2024-03-05,275
2024-03-06,282
2024-03-07,279
2024-03-08,285
2024-03-09,288
2024-03-10,289
2024-03-11,289
2024-03-12,289
2024-03-13,286
2024-03-14,286
2024-03-15,289
2024-03-16,285
2024-03-17,289
2024-03-18,289
2024-03-19,283
2024-03-20,279
2024-03-21,279
2024-03-22,274
2024-03-23,268
2024-03-24,264
2024-03-25,264
2024-03-26,271
2024-03-27,271
2024-03-28,269
2024-03-29,270
2024-03-30,269
2024-03-31,264
2024-04-01,264
2024-04-02,249
2024-04-03,247
2024-04-04,249
2024-04-05,250
2024-04-06,251
2024-04-07,250
2024-04-08,251
2024-04-09,246
2024-04-10,247
2024-04-11,242
2024-04-12,238
2024-04-13,239
2024-04-14,236
2024-04-15,237
2024-04-16,241
2024-04-17,238
2024-04-18,236
2024-04-19,237
2024-04-20,236
2024-04-21,235
2024-04-22,235
2024-04-23,237
2024-04-24,238
2024-04-25,242
2024-04-26,247
2024-04-27,245
2024-04-28,246
2024-04-29,246
2024-04-30,250
2024-05-01,245
2024-05-02,245
2024-05-03,248
2024-05-04,248
2024-05-05,249
2024-05-06,249
2024-05-07,248
2024-05-08,251
2024-05-09,246
2024-05-10,250
2024-05-11,253
2024-05-12,250
2024-05-13,250
2024-05-14,253
2024-05-15,253
2024-05-16,252
2024-05-17,255
2024-05-18,251
2024-05-19,250
2024-05-20,250
2024-05-21,252
2024-05-22,244
2024-05-23,244
2024-05-24,238
2024-05-25,238
2024-05-26,238
2024-05-27,238
2024-05-28,237
2024-05-29,234
2024-05-30,235
2024-05-31,235
2024-06-01,239
2024-06-02,240
2024-06-03,240
2024-06-04,340
2024-06-05,343
2024-06-06,354
2024-06-07,354
2024-06-08,352
2024-06-09,352
2024-06-10,352
2024-06-11,346
2024-06-12,345
2024-06-13,347
2024-06-14,349
2024-06-15,352
2024-06-16,307
2024-06-17,308
2024-06-18,304
2024-06-19,297
2024-06-20,299
2024-06-21,304
2024-06-22,306
2024-06-23,315
2024-06-24,314
2024-06-25,314
2024-06-26,306
2024-06-27,315
2024-06-28,317
2024-06-29,317
2024-06-30,311
2024-07-01,319
2024-07-02,315
2024-07-03,309
2024-07-04,305
2024-07-05,302
2024-07-06,304
2024-07-07,300
2024-07-08,299
2024-07-09,304
2024-07-10,309
2024-07-11,308
2024-07-12,307
2024-07-13,309
2024-07-14,305
2024-07-15,305
2024-07-16,303
2024-07-17,291
2024-07-18,293
2024-07-19,296
2024-07-20,298
2024-07-21,296
2024-07-22,295
2024-07-23,296
2024-07-24,292
2024-07-25,295
2024-07-26,292
2024-07-27,293
2024-07-28,294
2024-07-29,294
2024-07-30,293
2024-07-31,296
2024-08-01,294
2024-08-02,296
2024-08-03,297
2024-08-04,291
2024-08-05,291
2024-08-06,294
2024-08-07,295
2024-08-08,290
2024-08-09,290
2024-08-10,292
2024-08-11,297
2024-08-12,297
2024-08-13,299
2024-08-14,302
2024-08-15,296
2024-08-16,294
2024-08-17,305
2024-08-18,306
2024-08-19,306
2024-08-20,310
2024-08-21,311
2024-08-22,312
2024-08-23,313
2024-08-24,314
2024-08-25,315
2024-08-26,315
2024-08-27,312
2024-08-28,311
2024-08-29,312
2024-08-30,309
2024-08-31,312
2024-09-01,313
2024-09-02,313
2024-09-03,316
2024-09-04,313
2024-09-05,318
2024-09-06,323
2024-09-07,328
2024-09-08,327
2024-09-09,326
2024-09-10,326
2024-09-11,331
2024-09-12,339
2024-09-13,344
2024-09-14,345
2024-09-15,351
2024-09-16,351
2024-09-17,355
2024-09-18,363
2024-09-19,348
2024-09-20,348
2024-09-21,352
2024-09-22,356
2024-09-23,356
2024-09-24,356
2024-09-25,354
2024-09-26,346
2024-09-27,347
2024-09-28,350
2024-09-29,351
2024-09-30,351
2024-10-01,349
2024-10-02,351
2024-10-03,350
2024-10-04,345
2024-10-05,346
2024-10-06,350
2024-10-07,350
2024-10-08,350
2024-10-09,349
2024-10-10,351
2024-10-11,348
2024-10-12,350
2024-10-13,353
2024-10-14,353
2024-10-15,352
2024-10-16,355
2024-10-17,357
2024-10-18,353
2024-10-19,351
2024-10-20,348
2024-10-21,348
2024-10-22,353
2024-10-23,355
2024-10-24,355
2024-10-25,356
2024-10-26,359
2024-10-27,355
2024-10-28,355
2024-10-29,354
2024-10-30,358
2024-10-31,356
2024-11-01,351
2024-11-02,351
2024-11-03,348
2024-11-04,348
2024-11-05,355
2024-11-06,358
2024-11-07,359
2024-11-08,362
2024-11-09,358
2024-11-10,360
2024-11-11,360
2024-11-12,366
2024-11-13,362
2024-11-14,373
2024-11-15,377
2024-11-16,377
2024-11-17,378
2024-11-18,378
2024-11-19,381
2024-11-20,382
2024-11-21,387
2024-11-22,387
2024-11-23,388
2024-11-24,392
2024-11-25,392
2024-11-26,398
2024-11-27,406
2024-11-28,410
2024-11-29,412
2024-11-30,410
2024-12-01,410
2024-12-02,410
2024-12-03,412
2024-12-04,410
2024-12-05,410
2024-12-06,406
2024-12-07,406
2024-12-08,409
2024-12-09,411
2024-12-10,407
2024-12-11,413
2024-12-12,416
2024-12-13,426
2024-12-14,414
2024-12-15,414
2024-12-16,414
2024-12-17,421
2024-12-18,425
2024-12-19,425
2024-12-20,419
2024-12-21,419
2024-12-22,420
2024-12-23,420
2024-12-24,422
2024-12-25,422
2024-12-26,422
2024-12-27,427
2024-12-28,421
2024-12-29,422
2024-12-30,423
2024-12-31,418
